emp_no,first_name,last_name,birth_date,current_title,first_hire_date,to_date
10095,Hilari,Morton,1/3/65,Senior Staff,3/10/94,1/1/99
10122,Ohad,Esposito,1/19/65,Technique Leader,8/6/98,1/1/99
10291,Dipayan,Seghrouchni,1/23/65,Senior Staff,3/30/87,1/1/99
10476,Kokou,Iisaka,1/1/65,Senior Staff,9/20/87,1/1/99
10663,Teunis,Noriega,1/9/65,Technique Leader,1/23/93,1/1/99
10762,Lech,Himler,1/19/65,Senior Staff,1/21/92,1/1/99
10933,Juyoung,Seghrouchni,1/24/65,Senior Engineer,8/2/93,1/1/99
12155,Keiichiro,Glinert,1/21/65,Senior Engineer,9/16/93,1/1/99
12408,Rasiah,Sudkamp,1/10/65,Senior Engineer,4/18/95,1/1/99
12643,Morrie,Schurmann,1/30/65,Staff,12/31/98,1/1/99
13499,Kazuhiko,Sidou,1/16/65,Technique Leader,9/1/91,1/1/99
14075,Denny,Tchuente,1/3/65,Engineer,5/30/91,1/1/99
14104,Sudhanshu,Demian,1/3/65,Senior Staff,7/23/94,1/1/99
14127,Magdalena,Cannard,1/10/65,Senior Engineer,4/22/94,1/1/99
14158,Caolyn,Setiz,1/22/65,Senior Staff,2/6/90,1/1/99
14476,Sastry,Marrevee,1/19/65,Engineer,9/25/99,1/1/99
14907,Nakhoon,Luga,1/14/65,Senior Staff,12/18/86,1/1/99
15050,Nikolaos,Kruskal,1/18/65,Senior Engineer,12/17/90,1/1/99
15058,Bouchung,Bugrara,1/30/65,Senior Staff,6/18/90,1/1/99
15413,Arvin,Rabejac,1/17/65,Senior Engineer,1/1/94,1/1/99
16461,Remmert,Schahn,1/14/65,Senior Staff,9/6/86,1/1/99
16528,Gaurav,Swick,1/21/65,Engineer,5/7/96,1/1/99
17013,Morris,Garigliano,1/15/65,Senior Staff,5/24/95,1/1/99
17206,Berry,DeMori,1/2/65,Senior Engineer,12/27/92,1/1/99
17369,Yaghout,Kenevan,1/31/65,Senior Engineer,1/28/93,1/1/99
17447,Zengping,Boreale,1/11/65,Staff,12/16/98,1/1/99
17731,Gennady,Roison,1/16/65,Engineer,12/6/89,1/1/99
17970,Filipp,Carrere,1/6/65,Technique Leader,1/9/89,1/1/99
17988,Mabhin,Calkin,1/31/65,Senior Engineer,11/30/89,1/1/99
18021,Adil,Matzke,1/7/65,Senior Engineer,5/8/87,1/1/99
18424,Filipp,Rousseau,1/19/65,Senior Engineer,6/7/95,1/1/99
18583,Stafford,Honglei,1/3/65,Staff,8/16/98,1/1/99
18617,Surveyors,Crouzet,1/21/65,Senior Staff,4/24/89,1/1/99
18810,Taiji,Jarecki,1/9/65,Senior Engineer,6/27/91,1/1/99
19236,Elzbieta,Morris,1/24/65,Senior Engineer,7/12/88,1/1/99
19350,Satoru,Yoshizawa,1/19/65,Senior Staff,3/27/94,1/1/99
19803,Ziva,Kowalchuk,1/30/65,Senior Engineer,6/13/87,1/1/99
20100,Utz,Heuter,1/18/65,Senior Staff,6/15/86,1/1/99
20128,Kazunori,Peak,1/23/65,Senior Staff,8/13/99,1/1/99
20129,Rafael,Skafidas,1/10/65,Senior Engineer,3/28/91,1/1/99
20248,Vidar,Demri,1/12/65,Staff,12/31/99,1/1/99
20313,Candida,Benveniste,1/24/65,Engineer,1/20/99,1/1/99
20500,Christoph,Trystram,1/30/65,Senior Staff,10/15/93,1/1/99
20885,Otmar,Rothenberg,1/21/65,Senior Engineer,3/14/89,1/1/99
21181,Jianhui,Cangellaris,1/21/65,Engineer,10/6/91,1/1/99
21188,Piyush,Danecki,1/21/65,Engineer,1/8/00,1/1/99
21546,Yongmin,Lanteri,1/1/65,Senior Staff,2/16/88,1/1/99
